author_id,name,bio
1,"J.K. Rowling","British author, best known for the Harry Potter series."
2,"George R.R. Martin","American novelist and short story writer, known for A Song of Ice and Fire."
3,"J.R.R. Tolkien","English writer, best known for The Hobbit and The Lord of the Rings."
4,"Agatha Christie","English writer known for her detective novels, particularly those featuring Hercule Poirot and Miss Marple."
5,"Isaac Asimov","American author and professor of biochemistry, known for his works of science fiction and popular science."
6,"Stephen King","American author of horror, supernatural fiction, suspense, and fantasy novels."
7,"Mark Twain","American writer, humorist, entrepreneur, and publisher, known for The Adventures of Tom Sawyer and Adventures of Huckleberry Finn."
8,"Jane Austen","English novelist known for her six major novels including Pride and Prejudice and Sense and Sensibility."
9,"F. Scott Fitzgerald","American novelist and short story writer, known for The Great Gatsby."
10,"Harper Lee","American novelist best known for her novel To Kill a Mockingbird."
